agc Faithfulness Correlation : 0.338
better_agc Faithfulness Correlation : 0.313
better_agc_plus1 Faithfulness Correlation : 0.334
inputgrad Faithfulness Correlation : 0.3
scorecam Faithfulness Correlation : 0.298
